               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083111,            0.028514,            0.041477,             0.47178,             0.27464,              0.1457,             0.04673,            0.040348,            0.011917,            0.026641,             0.07037,           0.0032922,           0.0032922
                   1,            0.053713,            0.021115,             0.03694,             0.46703,             0.46502,             0.28328,            0.086726,            0.031671,            0.007964,             0.02558,            0.040042,           0.0062976,           0.0062976
                   2,            0.049597,            0.017283,            0.037038,             0.41036,              0.4797,             0.24654,             0.10105,            0.030987,           0.0064524,             0.02547,           0.0093844,           0.0089729,           0.0089729
                   3,            0.044792,            0.014754,            0.036922,             0.13455,             0.93233,             0.23012,             0.13904,            0.027014,           0.0056144,            0.024684,            0.008515,            0.008515,            0.008515
                   4,            0.041847,            0.013246,            0.032921,             0.75377,             0.42129,             0.44651,             0.24367,            0.034365,           0.0053046,            0.021162,            0.008515,            0.008515,            0.008515
                   5,            0.039683,            0.012236,            0.027708,             0.30682,             0.78109,             0.50196,             0.23887,            0.025734,           0.0052563,            0.016174,             0.00802,             0.00802,             0.00802
                   6,            0.036193,            0.011433,            0.024798,             0.37757,              0.8054,             0.57021,             0.33532,             0.02141,           0.0049582,            0.014586,            0.007525,            0.007525,            0.007525
                   7,             0.03689,            0.011346,            0.023962,             0.43186,              0.9256,             0.65708,             0.40465,             0.02006,           0.0049824,            0.013831,             0.00703,             0.00703,             0.00703
                   8,            0.033595,            0.011274,            0.022178,             0.46325,             0.99062,             0.70159,              0.4413,            0.017911,           0.0050018,            0.012046,            0.006535,            0.006535,            0.006535
                   9,            0.031773,            0.011024,            0.020264,             0.91183,             0.64616,             0.72943,             0.48978,            0.016277,           0.0047855,            0.010702,             0.00604,             0.00604,             0.00604
                  10,            0.030151,             0.01075,            0.018973,             0.65815,             0.74523,              0.7598,             0.53074,            0.019471,           0.0047069,            0.011088,            0.005545,            0.005545,            0.005545
                  11,             0.02825,            0.010313,            0.016095,             0.65449,             0.89835,             0.78097,              0.5338,            0.016063,           0.0046313,           0.0088248,             0.00505,             0.00505,             0.00505
                  12,            0.028471,            0.010151,            0.016879,              0.8843,             0.72478,             0.75976,             0.51694,            0.018577,           0.0045862,           0.0074448,            0.004555,            0.004555,            0.004555
                  13,             0.02887,            0.009719,            0.016343,             0.62471,             0.91053,              0.8037,             0.55503,            0.015513,           0.0045721,           0.0062702,             0.00406,             0.00406,             0.00406
                  14,            0.025999,           0.0096894,            0.015026,             0.68582,             0.94043,             0.79298,             0.57152,            0.014792,           0.0046229,             0.00583,            0.003565,            0.003565,            0.003565
                  15,            0.027253,            0.010106,            0.014215,             0.72969,             0.89691,             0.88967,             0.65292,             0.01413,           0.0044958,            0.005109,             0.00307,             0.00307,             0.00307
                  16,             0.02533,           0.0098904,            0.011578,             0.75929,             0.86062,             0.88978,             0.66399,            0.013452,           0.0043791,           0.0048999,            0.002575,            0.002575,            0.002575
                  17,            0.025569,           0.0099496,            0.013279,             0.84373,             0.91917,             0.95687,             0.71093,            0.013635,           0.0044232,           0.0043341,             0.00208,             0.00208,             0.00208
                  18,            0.023516,           0.0093017,            0.012368,             0.81637,             0.87272,             0.91779,             0.66375,             0.01309,           0.0043198,           0.0041836,            0.001585,            0.001585,            0.001585
                  19,            0.023807,           0.0095178,             0.01106,             0.88628,             0.98022,             0.98297,             0.73406,            0.012881,           0.0043334,           0.0035443,             0.00109,             0.00109,             0.00109
